Row,Estimate,SE,tStat,pValue,OddsRatio,OddsRatio_95CI_1,OddsRatio_95CI_2
(Intercept),-5.67209444511088,2.26405922973971,-2.50527652748863,0.0122355690817201,0.00344065146863157,3.9335287159333e-05,0.300953250465537
is_mit,1.36127956987546,0.80112422777111,1.69921158627647,0.089279324095634,3.90118194435088,0.801827391134176,18.9806693201163
is_harvard,2.57737065327669,1.25639651767882,2.05139907426548,0.0402280991408477,13.1624838866958,1.10088148680366,157.374780250461
years_since_graduation,-0.306310658093869,0.125876661567644,-2.43341898553023,0.014956982122355,0.736157890522636,0.574126988166555,0.943917375334258
is_mba,2.16848828837191,1.09614834082467,1.97827995318634,0.0478971333479244,8.74505404340426,1.00371008547655,76.1932866159764
is_phd,-0.163860917982628,0.730538204299132,-0.224301640924903,0.822522599463366,0.84886007484217,0.200567996053168,3.5926141799315
is_stem,2.30001049135625,1.01021410929078,2.27675546223657,0.0228008324947447,9.97428709806506,1.35653963461453,73.3383681361414
skills_soft,-4.21141682444069,2.24370948257507,-1.87698846804681,0.0605196744189427,0.0148253485347717,0.000176441323474476,1.24568867909932
pic_rating_total_3,-1.19586772547618,0.666995456542112,-1.79291734860667,0.0729861408879609,0.302441404176498,0.0810152319587964,1.12905685447858
idea_rating_2min,4.44097253594939,1.96800467627212,2.2565863737487,0.0240339326049977,84.8574284563925,1.7408213301726,4136.42861528922
topic_inessential,-0.0885106718871519,0.906329994391926,-0.0976583280205081,0.922203606744915,0.915293342776611,0.152830900898078,5.4816264146076
topic_essentialperiodic,-0.537931676301196,0.862530042018565,-0.623667176904682,0.532846183319455,0.583954811742345,0.106315562587751,3.20746289496028
topic_essentialdaily,-3.57593368822128,1.39004288979155,-2.57253478614428,0.01009568098311,0.0279892803089181,0.00179790791454111,0.435728551988236
wd_speaking_to_you,-5.11225957032946,2.03414217881822,-2.5132262747236,0.0119632575604331,0.00602245936720757,0.000108420851272848,0.334529902724988
wd_questions,1.76835260946181,1.10314851213001,1.60300502608428,0.108933544446894,5.86118973517265,0.663479642243702,51.7778435454616
wd_adjectives,-0.274732041906443,0.529203247153174,-0.519142774320362,0.603661181666814,0.759775683994687,0.26717367596532,2.16061364542712
positive_sentiment,-1.84623581078509,0.830741545258209,-2.22239494500212,0.0262566266630805,0.157830152114452,0.0305965327743014,0.814156201953502
